Date,GOOG,Mkt-RF,SMB,HML,RF
20140103,-0.007276974,0.03,0.37,0.04,0
20140106,0.011149321,-0.34,-0.58,0.28,0
20140107,0.019260373,0.68,0.39,-0.39,0
20140108,0.002089846,0.04,0.01,-0.11,0
20140109,-0.009621282,0.02,0.2,-0.42,0
20140110,-5.31E-05,0.27,0.55,-0.82,0
20140113,-0.006370667,-1.32,-0.07,0.12,0
20140114,0.023526688,1.15,0.16,-0.32,0
20140115,-0.000696015,0.53,0.22,0.21,0
20140116,0.006634163,-0.07,0.31,-0.7,0
20140117,-0.004929858,-0.39,0.03,0.03,0
20140121,0.01145569,0.3,0.46,0,0
20140122,0.001134313,0.15,0.27,0.21,0
20140123,-0.004240271,-0.86,0.17,-0.54,0
20140124,-0.031256465,-2.19,-0.38,0.17,0
20140127,-0.020109982,-0.65,-0.85,0.4,0
20140128,0.019778064,0.73,0.16,0.05,0
20140129,-0.014318789,-1.07,-0.4,0.23,0
20140130,0.025710982,1.22,0.3,-0.38,0
20140131,0.04014515,-0.66,-0.08,-0.32,0
20140203,-0.040255385,-2.49,-0.87,0.27,0
20140204,0.004182033,0.77,-0.04,-0.05,0
20140205,0.0044282,-0.23,-0.61,0.21,0
20140206,0.014660602,1.21,-0.5,0.25,0
20140207,0.015069485,1.33,-0.17,-0.63,0
20140210,-0.003838837,0.16,0.13,-0.47,0
20140211,0.014715411,1.09,-0.2,0.25,0
20140212,-0.002940732,0.11,0.25,-0.06,0
20140213,0.011140324,0.72,0.72,-0.07,0
20140214,0.002416868,0.42,-0.36,0.38,0
20140218,0.006717659,0.27,0.97,-0.23,0
20140219,-0.007069239,-0.74,-0.27,-0.44,0
20140220,0.001480471,0.7,0.55,-0.2,0
20140221,-0.000265759,-0.09,0.34,-0.05,0
20140224,0.007243849,0.65,0.18,0.32,0
20140225,0.006185567,-0.1,0.13,-0.6,0
20140226,0.000131148,0.12,0.67,-0.1,0
20140227,-0.000786782,0.54,0.15,0.02,0
20140228,-0.002919948,0.15,-0.73,0.82,0
20140303,-0.010661051,-0.7,0.08,0.14,0
20140304,0.010160641,1.67,1.11,-0.15,0
20140305,0.00276566,0.01,-0.28,0.3,0
20140306,0.001099929,0.16,-0.33,0.77,0
20140307,-0.003952115,0.04,-0.11,0.54,0
20140310,-0.002650686,-0.09,-0.1,0.07,0
20140311,-0.009557925,-0.62,-0.53,-0.2,0
20140312,0.006100102,0.13,0.3,-0.18,0
20140313,-0.015108092,-1.21,-0.1,0.22,0
20140314,-0.013674667,-0.16,0.7,-0.07,0
20140317,0.016439291,0.9,-0.37,0.02,0
20140318,0.016089524,0.82,0.74,-0.39,0
20140319,-0.009923551,-0.59,-0.18,0.62,0
20140320,-0.001734432,0.52,-0.49,0.99,0
20140321,-0.011794581,-0.37,-0.28,0.88,0
20140324,-0.021233433,-0.64,-0.89,0.9,0
20140325,0.000690894,0.3,-0.35,0.13,0
20140326,-0.023094449,-0.89,-1.17,0.25,0
20140327,-0.015989964,-0.19,-0.1,-0.33,0
20140328,0.002747203,0.41,-0.44,0.55,0
20140331,-0.005389822,0.97,0.99,-0.18,0
20140401,0.018291475,0.87,0.73,-0.38,0
20140402,-0.00028288,0.29,0.05,0.13,0
20140403,0.004828013,-0.31,-0.89,0.8,0
20140404,-0.046692949,-1.47,-1.13,0.68,0
20140407,-0.009175667,-1.26,-0.29,-0.05,0
20140408,0.031117239,0.5,0.3,-0.2,0
20140409,0.016661245,1.21,0.33,-0.88,0
20140410,-0.041112691,-2.24,-0.7,0.79,0
20140411,-0.019129887,-1.07,-0.4,0.25,0
20140414,0.003609563,0.7,-0.51,0.21,0
20140415,0.007362633,0.59,-0.38,0.2,0
20140416,0.037478737,1.13,0.03,-0.38,0
20140417,-0.036737415,0.23,0.33,0.21,0
20140421,-0.013953575,0.36,0.21,-0.43,0
20140422,0.011722974,0.58,0.72,-0.35,0
20140423,-0.01471829,-0.31,-0.64,0.89,0
20140424,-0.00338725,0.08,-0.41,-0.19,0
20140425,-0.017089284,-1.05,-0.94,0.56,0
20140428,0.001864911,0.11,-0.63,-0.58,0
20140429,0.02041766,0.56,-0.23,-0.13,0
20140430,-0.001976209,0.35,0.24,-0.04,0
20140501,0.008910552,0.04,-0.16,-0.18,0
20140502,-0.006454048,-0.07,0.2,0.43,0
20140505,-0.000208935,0.13,-0.28,-0.55,0
20140506,-0.024013527,-1.03,-0.53,0.13,0
20140507,-0.010063652,0.45,-0.85,1.12,0
20140508,0.00204499,-0.26,-1.01,0.38,0
20140509,0.015129513,0.25,0.7,-0.36,0
20140512,0.021573138,1.2,1.39,-0.25,0
20140513,0.005979526,-0.05,-1.06,0.23,0
20140514,-0.012076068,-0.6,-1.09,-0.46,0
20140515,-0.012661602,-0.9,0.34,-0.27,0
20140516,0.001234187,0.36,0.27,-0.43,0
20140519,0.015812789,0.5,0.62,0.06,0
20140520,0.001725413,-0.78,-0.82,0.23,0
20140521,0.017300121,0.81,-0.27,0.09,0
20140522,0.011368288,0.36,0.63,-0.25,0
20140523,0.014018434,0.49,0.61,-0.22,0
20140527,0.023966327,0.69,0.69,-0.17,0
20140528,-0.007547838,-0.11,-0.31,0.22,0
20140529,-0.002838576,0.54,-0.2,-0.11,0
20140530,-0.000340167,0.06,-0.68,0.25,0
20140602,-0.010656207,0.06,-0.69,0.38,0
20140603,-0.016219837,-0.05,-0.26,0.19,0
20140604,-0.000515227,0.28,0.23,-0.08,0
20140605,0.016956017,0.77,1.29,-0.18,0
20140606,0.004399146,0.54,0.49,-0.01,0
20140609,0.010399957,0.22,1.01,-0.31,0
20140610,-0.002782832,-0.03,-0.18,-0.04,0
20140611,-0.003058925,-0.34,-0.14,-0.25,0
20140612,-0.013403671,-0.68,0.11,0.17,0
20140613,0.000745671,0.31,-0.06,-0.18,0
20140616,-0.013557474,0.13,0.47,-0.7,0
20140617,-0.002339763,0.34,0.54,0.46,0
20140618,0.019094401,0.75,-0.27,-0.09,0
20140619,0.002754322,0.12,-0.15,-0.02,0
20140620,0.002638332,0.18,0.18,0.06,0
20140623,0.015427871,-0.01,-0.25,0.1,0
20140624,-0.000585729,-0.72,-0.34,-0.24,0
20140625,0.024863694,0.53,0.35,0.15,0
20140626,-0.004592164,-0.11,-0.08,0.03,0
20140627,0.002158699,0.26,0.48,-0.22,0
20140630,-0.003387416,0.07,0.26,0.17,0
20140701,0.012828781,0.74,0.49,-0.38,0
20140702,-0.000567918,-0.03,-0.46,-0.19,0
20140703,0.004115439,0.59,0.21,0.1,0
20140707,-0.004235762,-0.62,-1.27,0.34,0
20140708,-0.019167843,-0.82,-0.68,0.72,0
20140709,0.008726494,0.46,-0.39,-0.12,0
20140710,-0.008633594,-0.49,-0.58,-0.01,0
